,gst (mol/m2s),tleaf(degC),par(micromol/m2),gblc(mol/m2s),An(micromol/m2s)
1012,0.13919,24.188,309.12,1.1553,7.9084
1013,0.10005,20.382,25.76,1.1627,-1.1094
1014,0.10005,17.651,0.0,1.173,-1.7219
1015,0.10005,15.803,0.0,1.1069,-1.588
1016,0.10005,14.249,0.0,1.0217,-1.4834
1017,0.10005,13.055,0.0,0.94875,-1.4078
1018,0.10005,12.123,0.0,0.893,-1.3515
1019,0.10005,11.235,0.0,0.82528,-1.2999
1020,0.10005,10.407,0.0,0.74461,-1.2535
1021,0.10005,9.632,0.0,0.65407,-1.2117
1022,0.10005,8.8395,0.0,0.54233,-1.1703
1023,0.11125,10.072,206.08,0.61358,2.6476
1024,0.12364,13.106,637.56,0.54233,5.0
1025,0.19436,17.992,1101.2,0.54233,16.336
1026,0.19193,22.548,1526.3,0.54233,27.127
1027,0.10795,27.265,1886.9,0.58794,20.487
1028,0.10005,30.844,2151.0,0.57618,19.659
1029,0.10005,14.019,0.0,0.74231,-1.4685
1030,0.10005,13.491,0.0,0.62463,-1.4349
1031,0.10005,13.256,0.0,0.57021,-1.4202
1032,0.10005,13.353,0.0,0.58502,-1.4263
1033,0.10005,13.54,0.0,0.61913,-1.438
1034,0.12276,15.818,206.08,0.73303,4.8387
1035,0.21143,19.464,650.44,1.0465,18.831
1036,0.30879,22.409,1120.6,1.1524,32.217
1037,0.34034,25.174,1552.0,1.2061,36.337
1038,0.36501,27.593,1912.7,1.2299,39.506
1039,0.38141,29.545,2176.7,1.2424,41.585
1040,0.3903,30.903,2286.2,1.2341,42.705
1041,0.39417,31.651,2266.9,1.1946,43.192
1042,0.39561,31.977,2163.8,1.1329,43.373
1043,0.39473,31.774,1938.4,1.0692,43.262
1044,0.38833,30.792,1481.2,0.99797,42.46
1045,0.3205,29.811,1081.9,0.91196,33.755
1046,0.21862,28.312,669.76,0.75147,19.863
1047,0.13011,25.59,257.6,0.5488,6.1484
1048,0.10005,21.699,0.0,0.60515,-2.0562
1049,0.10005,19.884,0.0,0.67721,-1.8989
1050,0.10005,18.468,0.0,0.73303,-1.7847
1051,0.10005,17.056,0.0,0.62189,-1.6776
1052,0.10005,16.237,0.0,0.5488,-1.6184
1053,0.10005,16.163,0.0,0.5732,-1.6132
1054,0.10005,16.172,0.0,0.61636,-1.6138
1055,0.10005,16.075,0.0,0.67468,-1.607
1056,0.10005,15.862,0.0,0.73069,-1.5921
1057,0.10005,15.529,0.0,0.8064,-1.569
1058,0.12259,16.894,206.08,0.97543,4.8111
1059,0.21145,19.497,650.44,1.1299,18.833
1060,0.31031,22.54,1114.1,1.1744,32.418
1061,0.34478,25.584,1545.6,1.1773,36.91
1062,0.36959,28.209,1899.8,1.1802,40.088
1063,0.38679,30.324,2157.4,1.1875,42.264
1064,0.39441,31.702,2273.3,1.186,43.221
1065,0.39744,32.459,2254.0,1.1744,43.605
1066,0.39831,32.725,2151.0,1.1553,43.715
1067,0.39753,32.486,1925.6,1.1284,43.617
1068,0.39431,31.688,1564.9,1.0913,43.213
1069,0.33959,30.796,1152.8,1.0334,36.242
1070,0.22341,29.732,689.08,0.92129,20.549
1071,0.12604,26.904,238.28,0.59947,5.4312
1072,0.10005,23.449,19.32,0.6328,-1.5833
1073,0.10005,21.641,0.0,0.65145,-2.051
1074,0.10005,20.213,0.0,0.64882,-1.9265
1075,0.10005,18.907,0.0,0.6328,-1.8193
1076,0.10005,17.836,0.0,0.60515,-1.736
1077,0.10005,17.042,0.0,0.58209,-1.6766
1078,0.10005,16.423,0.0,0.5732,-1.6317
1079,0.10005,15.816,0.0,0.5672,-1.5889
1080,0.10005,15.226,0.0,0.55808,-1.5483
1081,0.10005,14.777,0.0,0.5488,-1.5181
1082,0.12047,16.365,193.2,0.54233,4.4229
1083,0.20742,19.97,631.12,0.76725,18.25
1084,0.31597,23.025,1094.8,0.77832,33.164
1085,0.34624,26.82,1532.7,0.77832,37.1
1086,0.36861,29.515,1893.4,0.79572,39.963
1087,0.38642,31.371,2157.4,0.83147,42.218
1088,0.39761,32.504,2189.6,0.86773,43.625
1089,0.39995,33.435,2260.4,0.91943,43.941
1090,0.39995,33.683,2157.4,0.98068,43.997
1091,0.39984,33.292,1925.6,1.0595,43.903
1092,0.39606,32.087,1564.9,1.1449,43.43
1093,0.33907,30.234,1152.8,1.2188,36.174
1094,0.22443,27.418,695.52,1.2615,20.694
1095,0.12827,23.393,244.72,1.2669,5.8251
1096,0.10005,19.411,19.32,1.2737,-1.2405
1097,0.10005,17.376,0.0,1.2506,-1.7013
1098,0.10005,16.049,0.0,1.1568,-1.6051
1099,0.10005,14.91,0.0,1.0498,-1.527
1100,0.10005,13.953,0.0,0.98763,-1.4643
1101,0.10005,13.297,0.0,0.94875,-1.4228
1102,0.10005,12.788,0.0,0.89873,-1.3914
1103,0.10005,12.366,0.0,0.87362,-1.3659
1104,0.10005,11.916,0.0,0.86179,-1.3392
1105,0.10005,11.443,0.0,0.83762,-1.3117
1106,0.11937,12.327,199.64,0.89108,4.2161
1107,0.14347,15.309,637.56,0.91008,8.4185
1108,0.24041,19.317,1101.2,0.88143,22.947
1109,0.3163,23.054,1532.7,0.77391,33.207
1110,0.33838,26.49,1886.9,0.66959,36.084
1111,0.35648,29.321,2151.0,0.63009,38.415
