,gst (mol/m2s),tleaf(degC),par(micromol/m2),gblc(mol/m2s),An(micromol/m2s)
5671,0.15094,16.201,360.64,0.76948,9.641
5672,0.17898,17.38,502.32,0.73069,14.029
5673,0.22605,18.96,805.0,0.68725,20.924
5674,0.28425,20.315,1152.8,0.67721,28.949
5675,0.2764,20.082,1043.3,0.74691,27.889
5676,0.28856,20.686,1172.1,0.80001,29.531
5677,0.30111,21.755,1416.8,0.83558,31.202
5678,0.30676,22.236,1507.0,0.88723,31.948
5679,0.29814,21.501,1165.6,0.93054,30.806
5680,0.29149,20.935,1030.4,0.96129,29.921
5681,0.22864,19.782,727.72,0.93604,21.292
5682,0.13992,17.794,302.68,0.70446,7.8287
5683,0.10005,14.41,38.64,0.56418,-0.29821
5684,0.10005,13.133,0.0,0.56113,-1.4126
5685,0.10005,12.554,0.0,0.5672,-1.3772
5686,0.10005,12.22,0.0,0.57914,-1.3572
5687,0.10005,11.89,0.0,0.57914,-1.3377
5688,0.10005,11.336,0.0,0.59084,-1.3056
5689,0.10005,10.838,0.0,0.60515,-1.2774
5690,0.10005,10.479,0.0,0.61358,-1.2575
5691,0.10005,10.18,0.0,0.61636,-1.2411
5692,0.10005,9.8334,0.0,0.61358,-1.2224
5693,0.10549,10.966,90.16,0.62189,1.4347
5694,0.13545,14.583,450.8,0.86378,7.07
5695,0.18923,17.791,888.72,0.87166,15.572
5696,0.28637,20.499,1313.8,0.95235,29.237
5697,0.30755,22.303,1674.4,0.99454,32.053
5698,0.32285,23.62,1944.9,0.99454,34.065
5699,0.33305,24.516,2073.7,0.96838,35.392
5700,0.3369,24.937,2041.5,0.93421,35.893
5701,0.33116,24.348,1661.5,0.90442,35.147
5702,0.33034,24.275,1584.2,0.89491,35.04
5703,0.32352,23.678,1378.2,0.90063,34.152
5704,0.31248,22.725,1133.4,0.89491,32.703
5705,0.23239,21.381,740.6,0.82528,21.822
5706,0.14225,19.555,315.56,0.60515,8.2179
5707,0.10005,17.18,32.2,0.54233,-0.67039
5708,0.10005,16.507,0.0,0.54233,-1.6377
5709,0.10005,16.153,0.0,0.54233,-1.6125
5710,0.10005,15.614,0.0,0.54233,-1.5748
5711,0.10005,14.715,0.0,0.54253,-1.514
5712,0.10005,13.701,0.0,0.56418,-1.4482
5713,0.10005,12.712,0.0,0.57021,-1.3868
5714,0.10005,12.135,0.0,0.59947,-1.3522
5715,0.10005,12.297,0.0,0.6355,-1.3618
5716,0.10005,12.004,0.0,0.65145,-1.3444
