,gst (mol/m2s),tleaf(degC),par(micromol/m2),gblc(mol/m2s),An(micromol/m2s)
27968,0.31889,23.275,1648.6,0.96662,33.544
27969,0.34178,25.392,2002.8,0.98936,36.524
27970,0.35714,26.963,2228.2,1.1023,38.5
27971,0.36615,27.752,2131.6,1.2131,39.65
27972,0.3751,28.738,2286.2,1.2764,40.787
27973,0.37601,28.85,2041.5,1.299,40.903
27974,0.37473,28.694,1809.6,1.3315,40.741
27975,0.3682,27.939,1468.3,1.3392,39.91
27976,0.31162,27.061,1056.2,1.3289,32.59
27977,0.21516,26.194,656.88,1.2534,19.369
27978,0.12821,23.581,244.72,0.98242,5.817
27979,0.10005,18.235,19.32,0.72599,-1.1521
27980,0.10005,16.317,0.0,0.73069,-1.6241
27981,0.10005,15.002,0.0,0.74691,-1.5332
27982,0.10005,13.598,0.0,0.73069,-1.4417
27983,0.10005,12.379,0.0,0.7165,-1.3667
27984,0.10005,11.396,0.0,0.74461,-1.309
27985,0.10005,10.493,0.0,0.83558,-1.2583
27986,0.10005,9.5659,0.0,0.93786,-1.2082
27987,0.10005,8.12,0.0,0.91383,-1.134
27988,0.10005,6.7461,25.76,0.77832,-0.31421
27989,0.10828,8.5942,309.12,0.82735,2.0383
27990,0.11833,12.119,772.8,0.71171,4.0242
27991,0.1583,16.345,1242.9,0.54233,10.818
27992,0.23158,19.099,1648.6,0.8697,21.707
27993,0.2914,20.928,1996.4,1.0099,29.909
27994,0.30898,22.425,2215.4,1.11,32.242
27995,0.32034,23.402,2318.4,1.2258,33.736
27996,0.32459,23.77,2286.2,1.3443,34.29
27997,0.31916,23.299,1977.1,1.4258,33.58
27998,0.30525,22.107,1365.3,1.4532,31.749
27999,0.27643,20.745,933.8,1.415,27.895
28000,0.22,19.625,689.08,1.3443,20.061
28001,0.15102,18.215,360.64,1.3134,9.6525
28002,0.10823,15.931,115.92,1.3468,2.0258
28003,0.10005,12.947,12.88,1.5211,-1.0066
28004,0.10005,9.8709,0.0,1.6443,-1.2244
28005,0.10005,6.7816,0.0,1.7146,-1.0694
28006,0.10005,5.2263,0.0,1.7136,-0.99892
28007,0.10005,4.375,0.0,1.7106,-0.96234
28008,0.10005,3.4909,0.0,1.6701,-0.92576
28009,0.10005,2.7596,0.0,1.6054,-0.89656
28010,0.10005,2.7807,0.0,1.5914,-0.89739
28011,0.10005,3.3271,0.0,1.5599,-0.91914
28012,0.10005,3.4349,12.88,1.4995,-0.55612
28013,0.10243,3.9511,57.96,1.4354,0.71424
28014,0.10483,5.0822,173.88,1.3955,1.2851
28015,0.10577,6.4512,322.0,1.4041,1.4961
28016,0.10746,8.0185,708.4,1.4614,1.8628
28017,0.11157,10.181,1088.4,1.5188,2.7137
